Asset No	Capitalized On	Asset Description	S/N	Barcode Name
430301-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VH6115	430301-0 / Handy Talky Motorola CP 1660 UHF
430302-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VH5685	430302-0 / Handy Talky Motorola CP 1660 UHF
430303-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VH5919	430303-0 / Handy Talky Motorola CP 1660 UHF
430304-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VH6112	430304-0 / Handy Talky Motorola CP 1660 UHF
430305-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VG6091	430305-0 / Handy Talky Motorola CP 1660 UHF
430306-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VP2640	430306-0 / Handy Talky Motorola CP 1660 UHF
430307-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VG6260	430307-0 / Handy Talky Motorola CP 1660 UHF
430308-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VG5282	430308-0 / Handy Talky Motorola CP 1660 UHF
430309-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VG6007	430309-0 / Handy Talky Motorola CP 1660 UHF
430310-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VH6113	430310-0 / Handy Talky Motorola CP 1660 UHF
430311-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VH6098	430311-0 / Handy Talky Motorola CP 1660 UHF
430312-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VG6075	430312-0 / Handy Talky Motorola CP 1660 UHF
430313-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VG5115	430313-0 / Handy Talky Motorola CP 1660 UHF
430314-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VM2637	430314-0 / Handy Talky Motorola CP 1660 UHF
430315-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VG5271	430315-0 / Handy Talky Motorola CP 1660 UHF
430316-0	30/04/2021	Handy Talky Motorola CP 1660 UHF	1335VM2640	430316-0 / Handy Talky Motorola CP 1660 UHF
430317-0	30/04/2021	ABS Dig Caliper 0-150/0.01MM 500-151-30	-	430317-0 / ABS Dig Caliper 0-150/0.01MM 500-151-30
430318-0	30/04/2021	ABS Dig Caliper 0-150/0.01MM 500-151-30	-	430318-0 / ABS Dig Caliper 0-150/0.01MM 500-151-30
430319-0	30/04/2021	Belt Sander CP9780 	-	430319-0 / Belt Sander CP9780 
430320-0	30/04/2021	Belt Sander CP9780 	-	430320-0 / Belt Sander CP9780 
430321-0	30/04/2021	Pneumatic Rachet Impact	-	430321-0 / Pneumatic Rachet Impact
430322-0	30/04/2021	Safety Fence 2250x4000mm	-	430322-0 / Safety Fence 2250x4000mm
430323-0	30/04/2021	Air Compressor 2HP 90L	-	430323-0 / Air Compressor 2HP 90L
430324-0	30/04/2021	Air Drill 10MM 1300RPM FDR-6PH-5	-	430324-0 / Air Drill 10MM 1300RPM FDR-6PH-5
430325-0	30/04/2021	Angle Grinder 4IN 13500RPM FA-30-3	-	430325-0 / Angle Grinder 4IN 13500RPM FA-30-3
430326-0	30/04/2021	Angle Grinder 4IN 13500RPM FA-30-3 (2)	-	430326-0 / Angle Grinder 4IN 13500RPM FA-30-3 (2)
430327-0	30/04/2021	Angle Grinder 4IN 13500RPM FA-30-3 (3)	-	430327-0 / Angle Grinder 4IN 13500RPM FA-30-3 (3)
430328-0	30/04/2021	Angle Grinder 4IN 13500RPM FA-30-3 (4)	-	430328-0 / Angle Grinder 4IN 13500RPM FA-30-3 (4)
430329-0	30/04/2021	Dent Full Welding IGBT-INV Stell	-	430329-0 / Dent Full Welding IGBT-INV Stell
430330-0	30/04/2021	Drill Pistol 8MM 2800RPM FDR-6PH-3 	-	430330-0 / Drill Pistol 8MM 2800RPM FDR-6PH-3 
430331-0	30/04/2021	Powermaxx SB 12 Set Workshop	-	430331-0 / Powermaxx SB 12 Set Workshop
430332-0	30/04/2021	Powermaxx SB 12 Set Workshop (2)	-	430332-0 / Powermaxx SB 12 Set Workshop (2)
430333-0	30/04/2021	Powermaxx SB 12 Set Workshop (3)	-	430333-0 / Powermaxx SB 12 Set Workshop (3)
430334-0	30/04/2021	Powermaxx SB 12 Set Workshop (4)	-	430334-0 / Powermaxx SB 12 Set Workshop (4)
430335-0	30/04/2021	Thickness Gage 0.05-1.0 mm 	-	430335-0 / Thickness Gage 0.05-1.0 mm 
430336-0	30/04/2021	Thickness Gage 0.05-1.0 mm (2)	-	430336-0 / Thickness Gage 0.05-1.0 mm (2)
430337-0	30/04/2021	Hand Light LT02PWC02 	-	430337-0 / Hand Light LT02PWC02 
430338-0	30/04/2021	Hand Light LT02PWC02 (2)	-	430338-0 / Hand Light LT02PWC02 (2)
430339-0	30/04/2021	Hand Light LT02PWC02 (3)	-	430339-0 / Hand Light LT02PWC02 (3)
430340-0	30/04/2021	Torque Wrench QSP25N3 	-	430340-0 / Torque Wrench QSP25N3 
430341-0	30/04/2021	Torque Wrench QSP50N3 	-	430341-0 / Torque Wrench QSP50N3 
430342-0	30/04/2021	Kobewel KM220D Set 	-	430342-0 / Kobewel KM220D Set 
430343-0	30/04/2021	Spot Weld Dent Puller 	-	430343-0 / Spot Weld Dent Puller 
430344-0	30/04/2021	Steel Dent Pulling Deasung FL-90N 	-	430344-0 / Steel Dent Pulling Deasung FL-90N 
430345-0	30/04/2021	Body Holder	-	430345-0 / Body Holder
430346-0	30/04/2021	Body Holder (2)	-	430346-0 / Body Holder (2)
430347-0	30/04/2021	Door Work Stand	-	430347-0 / Door Work Stand
430348-0	30/04/2021	Leveling Waterpass Digital 	-	430348-0 / Leveling Waterpass Digital 
430349-0	30/04/2021	Mounting Jig for Bold M6	-	430349-0 / Mounting Jig for Bold M6
430350-0	30/04/2021	Mounting Jig for Bold M6 (2)	-	430350-0 / Mounting Jig for Bold M6 (2)
430351-0	30/04/2021	Mounting Jig for Bold M8 Bold	-	430351-0 / Mounting Jig for Bold M8 Bold
430352-0	30/04/2021	Mounting Jig for Bold M8 Bold (2)	-	430352-0 / Mounting Jig for Bold M8 Bold (2)
430353-0	30/04/2021	Mounting Jig for Bold M8 Nut	-	430353-0 / Mounting Jig for Bold M8 Nut
430354-0	30/04/2021	Mounting Jig for Bold M8 Nut (2)	-	430354-0 / Mounting Jig for Bold M8 Nut (2)
430355-0	30/04/2021	Work Stand for Training Center 	-	430355-0 / Work Stand for Training Center 
430356-0	30/04/2021	Work Stand for Training Center (2)	-	430356-0 / Work Stand for Training Center (2)
430357-0	30/04/2021	Door Part Stand 2 FR Door 	-	430357-0 / Door Part Stand 2 FR Door 
430358-0	30/04/2021	Door Part Stand 2 RR Door 	-	430358-0 / Door Part Stand 2 RR Door 
430359-0	30/04/2021	Door Part Stand 1 Hood	-	430359-0 / Door Part Stand 1 Hood
430360-0	30/04/2021	Door Part Stand 1 Tail Gate	-	430360-0 / Door Part Stand 1 Tail Gate
430361-0	30/04/2021	Door Part Stand BIW Stand 	-	430361-0 / Door Part Stand BIW Stand 
430362-0	30/04/2021	Floor Stand Deck 	-	430362-0 / Floor Stand Deck 
430363-0	30/04/2021	Floor Stand Deck (2)	-	430363-0 / Floor Stand Deck (2)
430364-0	30/04/2021	3M 7403 Single Polishing Sander	-	430364-0 / 3M 7403 Single Polishing Sander
430365-0	30/04/2021	3M 7403 Single Polishing Sander (2)	-	430365-0 / 3M 7403 Single Polishing Sander (2)
430366-0	30/04/2021	3M 7403 Single Polishing Sander (3)	-	430366-0 / 3M 7403 Single Polishing Sander (3)
430367-0	30/04/2021	3M 3125 Nib Removal Sander 1-1/4"-7500 rpm	-	430367-0 / 3M 3125 Nib Removal Sander 1-1/4"-7500 rpm
430368-0	30/04/2021	3M 3125 Nib Removal Sander 1-1/4"-7500 rpm (2)	-	430368-0 / 3M 3125 Nib Removal Sander 1-1/4"-7500 rpm (2)
430369-0	30/04/2021	3M 3125 Nib Removal Sander 1-1/4"-7500 rpm (3)	-	430369-0 / 3M 3125 Nib Removal Sander 1-1/4"-7500 rpm (3)
430370-0	30/04/2021	Supply System Graco 38:1 for Sealant, Gun, Hose & Fit 	-	430370-0 / Supply System Graco 38:1 for Sealant, Gun, Hose & Fit 
430371-0	30/04/2021	Compressor Piston 2.2 KW Atlas Copo 	-	430371-0 / Compressor Piston 2.2 KW Atlas Copo 
430372-0	30/04/2021	Hadware Trolly	-	430372-0 / Hadware Trolly
430373-0	30/04/2021	Hadware Trolly (2)	-	430373-0 / Hadware Trolly (2)
430374-0	30/04/2021	Hadware Trolly (3)	-	430374-0 / Hadware Trolly (3)
430375-0	30/04/2021	Hadware Trolly (4)	-	430375-0 / Hadware Trolly (4)
430376-0	30/04/2021	Hadware Trolly (5)	-	430376-0 / Hadware Trolly (5)
430377-0	30/04/2021	Hadware Trolly (6)	-	430377-0 / Hadware Trolly (6)
430378-0	30/04/2021	Chassis Carried Skid 1	-	430378-0 / Chassis Carried Skid 1
430379-0	30/04/2021	Chassis Carried Skid 1 (2)	-	430379-0 / Chassis Carried Skid 1 (2)
430380-0	30/04/2021	Chassis Carried Skid 2	-	430380-0 / Chassis Carried Skid 2
430381-0	30/04/2021	Chassis Carried Skid 2 (2)	-	430381-0 / Chassis Carried Skid 2 (2)
430382-0	30/04/2021	Chassis Carried Skid 3	-	430382-0 / Chassis Carried Skid 3
430383-0	30/04/2021	Chassis Carried Skid 3 (2)	-	430383-0 / Chassis Carried Skid 3 (2)
430384-0	30/04/2021	C/Pad Skid	-	430384-0 / C/Pad Skid
430385-0	30/04/2021	C/Pad Skid 2	-	430385-0 / C/Pad Skid 2
430386-0	30/04/2021	BCP BL-12-I06	B2361809	430386-0 / BCP BL-12-I06
430387-0	30/04/2021	BCP BL-12-I06 (2)	B2401239	430387-0 / BCP BL-12-I06 (2)
430388-0	30/04/2021	BCP BL-12-I06 (3)	B1831723	430388-0 / BCP BL-12-I06 (3)
430389-0	30/04/2021	BCP BL-12-I06 (4)	-	430389-0 / BCP BL-12-I06 (4)
430390-0	30/04/2021	BCP BL-12-I06 (5)	-	430390-0 / BCP BL-12-I06 (5)
430391-0	30/04/2021	BCP BL-12-I06 (6)	-	430391-0 / BCP BL-12-I06 (6)
430392-0	30/04/2021	BCP BL-12-I06 (7)	-	430392-0 / BCP BL-12-I06 (7)
430393-0	30/04/2021	BCP BL-12-I06 (8)	-	430393-0 / BCP BL-12-I06 (8)
430394-0	30/04/2021	BCP BL-12-I06 (9)	-	430394-0 / BCP BL-12-I06 (9)
430395-0	30/04/2021	BCP BL-12-I06 (10)	-	430395-0 / BCP BL-12-I06 (10)
430396-0	30/04/2021	BCP BL-8-I06	B2481824	430396-0 / BCP BL-8-I06
430397-0	30/04/2021	BCP BL-8-I06 (2)	B2520143	430397-0 / BCP BL-8-I06 (2)
430398-0	30/04/2021	BCP BL-8-I06 (3)	B2481813	430398-0 / BCP BL-8-I06 (3)
430399-0	30/04/2021	BCP BL-8-I06 (4)	B2481812	430399-0 / BCP BL-8-I06 (4)
430400-0	30/04/2021	BCV BL-45-10	4211541702	430400-0 / BCV BL-45-10
430401-0	30/04/2021	BCV BL-45-10 (2)	-	430401-0 / BCV BL-45-10 (2)
430402-0	30/04/2021	BCV BL-45-10 (3)	-	430402-0 / BCV BL-45-10 (3)
430403-0	30/04/2021	BCV BL-45-10 (4)	-	430403-0 / BCV BL-45-10 (4)
430404-0	30/04/2021	Snap on SDML 19 KT	-	430404-0 / Snap on SDML 19 KT
430405-0	30/04/2021	Snap on SDML 19 KT (2)	-	430405-0 / Snap on SDML 19 KT (2)
430406-0	30/04/2021	Snap on SDML 19 KT (3)	-	430406-0 / Snap on SDML 19 KT (3)
430407-0	30/04/2021	Snap on SDML 19 KT (4)	-	430407-0 / Snap on SDML 19 KT (4)
430408-0	30/04/2021	Tone HSL 412 (Driver 1/2 Inch)	-	430408-0 / Tone HSL 412 (Driver 1/2 Inch)
430409-0	30/04/2021	Tone HSL 412 (Driver 1/2 Inch) (2)	-	430409-0 / Tone HSL 412 (Driver 1/2 Inch) (2)
430410-0	30/04/2021	Snap on SDML AD704B 	-	430410-0 / Snap on SDML AD704B 
430411-0	30/04/2021	Snap on SDML TD9902 	-	430411-0 / Snap on SDML TD9902 
430412-0	30/04/2021	Floor Crane WestCo Cap 2 Ton Lifting Range 230cm 	-	430412-0 / Floor Crane WestCo Cap 2 Ton Lifting Range 230cm 
430413-0	30/04/2021	Tool Trolly Jonnesway C-7DW5	-	430413-0 / Tool Trolly Jonnesway C-7DW5
430414-0	30/04/2021	Tool Trolly Jonnesway C-7DW5 (2)	-	430414-0 / Tool Trolly Jonnesway C-7DW5 (2)
430415-0	30/04/2021	Tool Trolly Jonnesway C-7DW5 (3)	-	430415-0 / Tool Trolly Jonnesway C-7DW5 (3)
430416-0	30/04/2021	Plier Set Snap on PL400B (1 of 4)	-	430416-0 / Plier Set Snap on PL400B (1 of 4)
430417-0	30/04/2021	Hand Driver Set Snap on SGDX80BR 	-	430417-0 / Hand Driver Set Snap on SGDX80BR 
430418-0	30/04/2021	Battery Gun Set Ingersoll Rand W5151P-K22 	SR18M0027	430418-0 / Battery Gun Set Ingersoll Rand W5151P-K22 
430419-0	30/04/2021	Clip Remover Snap on ASG 185	-	430419-0 / Clip Remover Snap on ASG 185
430420-0	30/04/2021	Clip Remover Snap on ASG 185 (2)	-	430420-0 / Clip Remover Snap on ASG 185 (2)
430421-0	30/04/2021	Clip Remover Snap on ASG 185 (3)	-	430421-0 / Clip Remover Snap on ASG 185 (3)
430422-0	30/04/2021	Clip Remover Snap on ASG 185 (4)	-	430422-0 / Clip Remover Snap on ASG 185 (4)
430423-0	30/04/2021	Clip Remover Snap on ASG 185 (5)	-	430423-0 / Clip Remover Snap on ASG 185 (5)
430424-0	30/04/2021	Clip Remover Snap on ASG 185 (6)	-	430424-0 / Clip Remover Snap on ASG 185 (6)
430425-0	30/04/2021	Clip Remover Snap on ASG 186	-	430425-0 / Clip Remover Snap on ASG 186
430426-0	30/04/2021	Clip Remover Snap on ASG 186 (2)	-	430426-0 / Clip Remover Snap on ASG 186 (2)
430427-0	30/04/2021	Clip Remover Snap on ASG 186 (3)	-	430427-0 / Clip Remover Snap on ASG 186 (3)
430428-0	30/04/2021	Clip Remover Snap on ASG 186 (4)	-	430428-0 / Clip Remover Snap on ASG 186 (4)
430429-0	30/04/2021	Buttery Gun Set Ingersoll Rand W5151P-K22	SR18K0010	430429-0 / Buttery Gun Set Ingersoll Rand W5151P-K22
430430-0	30/04/2021	Buttery Gun Set Ingersoll Rand W5151P-K22 (2)	-	430430-0 / Buttery Gun Set Ingersoll Rand W5151P-K22 (2)
430431-0	30/04/2021	Buttery Gun Set Ingersoll Rand W5151P-K22 (3)	-	430431-0 / Buttery Gun Set Ingersoll Rand W5151P-K22 (3)
430432-0	30/04/2021	Car Lifter Launch Two Post TLT240SB(S) 	5,34E+11	430432-0 / Car Lifter Launch Two Post TLT240SB(S) 
430432-0	30/04/2021	Car Lifter Launch Two Post TLT240SB(S) 	5,3401E+11	430432-0 / Car Lifter Launch Two Post TLT240SB(S) 
430433-0	30/04/2021	Hydraulic Mobile Scissor Lifter	050386-0154-0320	430433-0 / Hydraulic Mobile Scissor Lifter
430434-0	30/04/2021	Tohnichi QSP50N3 (3/8 inch)	189973K	430434-0 / Tohnichi QSP50N3 (3/8 inch)
430435-0	30/04/2021	Tohnichi QSP50N3 (3/8 inch) (2)	189974K	430435-0 / Tohnichi QSP50N3 (3/8 inch) (2)
430436-0	30/04/2021	Tohnichi QSP50N3 (3/8 inch) (3)	189980K	430436-0 / Tohnichi QSP50N3 (3/8 inch) (3)
430437-0	30/04/2021	Tohnichi QSP50N3 (3/8 inch) (4)	189972K	430437-0 / Tohnichi QSP50N3 (3/8 inch) (4)
430438-0	30/04/2021	Tohnichi PQL100N4 (driver 1/2 inch)	023404L	430438-0 / Tohnichi PQL100N4 (driver 1/2 inch)
430439-0	30/04/2021	Tohnichi PQL100N4 (driver 1/2 inch) (2)	023402L	430439-0 / Tohnichi PQL100N4 (driver 1/2 inch) (2)
430440-0	30/04/2021	Tohnichi PQL100N4 (driver 1/2 inch) (3)	023433L	430440-0 / Tohnichi PQL100N4 (driver 1/2 inch) (3)
430441-0	30/04/2021	Tohnichi PQL100N4 (driver 1/2 inch) (4)	023430L	430441-0 / Tohnichi PQL100N4 (driver 1/2 inch) (4)
430442-0	30/04/2021	Tohnichi PQL200N4 (driver 1/2 inch)	047631L	430442-0 / Tohnichi PQL200N4 (driver 1/2 inch)
430443-0	30/04/2021	Tohnichi PQL200N4 (driver 1/2 inch) (2)	047625L	430443-0 / Tohnichi PQL200N4 (driver 1/2 inch) (2)
430444-0	30/04/2021	Scissor Lift Max Load 1000 KG 	-	430444-0 / Scissor Lift Max Load 1000 KG 
430445-0	30/04/2021	Body Trolley	-	430445-0 / Body Trolley
430446-0	30/04/2021	Body Trolley (2)	-	430446-0 / Body Trolley (2)
430447-0	30/04/2021	Workbench Krisbow 1800x750x800 	-	430447-0 / Workbench Krisbow 1800x750x800 
430448-0	30/04/2021	Workbench Krisbow 1800x750x800 (2)	-	430448-0 / Workbench Krisbow 1800x750x800 (2)
430449-0	30/04/2021	Engine Crane Wetsco Brand 2 Tons 	-	430449-0 / Engine Crane Wetsco Brand 2 Tons 
430450-0	30/04/2021	Tool Set JTC Tools Chest with Tol Set 3931S 	-	430450-0 / Tool Set JTC Tools Chest with Tol Set 3931S 
430451-0	30/04/2021	Compressor  2HP 40L 8Bar Italian Design	-	430451-0 / Compressor  2HP 40L 8Bar Italian Design
430452-0	30/04/2021	Engine Stand Takeda 600 Kg (1250 LBS) 	-	430452-0 / Engine Stand Takeda 600 Kg (1250 LBS) 
430453-0	30/04/2021	Engine Stand Takeda 600 Kg (1250 LBS) (2)	-	430453-0 / Engine Stand Takeda 600 Kg (1250 LBS) (2)
430454-0	30/04/2021	Engine C/Head Sub Pallet	-	430454-0 / Engine C/Head Sub Pallet
430455-0	30/04/2021	Engine C/Head Sub Pallet (2)	-	430455-0 / Engine C/Head Sub Pallet (2)
430456-0	30/04/2021	Engine C/Head Sub Pallet (3)	-	430456-0 / Engine C/Head Sub Pallet (3)
430457-0	30/04/2021	Engine C/Head Sub Pallet (4)	-	430457-0 / Engine C/Head Sub Pallet (4)
430458-0	30/04/2021	Engine C/Head Sub Pallet (5)	-	430458-0 / Engine C/Head Sub Pallet (5)
430459-0	30/04/2021	Engine C/Head Sub Pallet (6)	-	430459-0 / Engine C/Head Sub Pallet (6)
430460-0	30/04/2021	Engine C/Head Sub Pallet (7)	-	430460-0 / Engine C/Head Sub Pallet (7)
430461-0	30/04/2021	Engine C/Head Sub Pallet (8)	-	430461-0 / Engine C/Head Sub Pallet (8)
430462-0	30/04/2021	Engine C/Head Sub Pallet (9)	-	430462-0 / Engine C/Head Sub Pallet (9)
430463-0	30/04/2021	Engine C/Head Sub Pallet (10)	-	430463-0 / Engine C/Head Sub Pallet (10)
430464-0	30/04/2021	Air Grease Pump Yamada SKR 55 EX	-	430464-0 / Air Grease Pump Yamada SKR 55 EX
430465-0	30/04/2021	Air Grease Pump Yamada SKR 55 EX (2)	-	430465-0 / Air Grease Pump Yamada SKR 55 EX (2)
430466-0	30/04/2021	Air Grease Pump Yamada SKR 55 EX (3)	-	430466-0 / Air Grease Pump Yamada SKR 55 EX (3)
430467-0	30/04/2021	Air Grease Pump Yamada SKR 55 EX (4)	-	430467-0 / Air Grease Pump Yamada SKR 55 EX (4)
430468-0	30/04/2021	Air Grease Pump Yamada SKR 55 EX (5)	-	430468-0 / Air Grease Pump Yamada SKR 55 EX (5)
430469-0	30/04/2021	High Pressure Cleaner Karcher DH 5/12 C 	-	430469-0 / High Pressure Cleaner Karcher DH 5/12 C 
430470-0	30/04/2021	Rack Assembly Kit Atlanta 29.01.003	-	430470-0 / Rack Assembly Kit Atlanta 29.01.003
430471-0	30/04/2021	Square Frame Lever Stiefelmayer 150/2 	-	430471-0 / Square Frame Lever Stiefelmayer 150/2 
430472-0	30/04/2021	Clamp Force Check OTT Jakob 	-	430472-0 / Clamp Force Check OTT Jakob 
430473-0	30/04/2021	Multimeter Fluke 179-2/IMSK	-	430473-0 / Multimeter Fluke 179-2/IMSK
430474-0	30/04/2021	Multimeter Fluke 179-2/IMSK (2)	-	430474-0 / Multimeter Fluke 179-2/IMSK (2)
430475-0	30/04/2021	Multimeter Fluke 179-2/IMSK (3)	-	430475-0 / Multimeter Fluke 179-2/IMSK (3)
430476-0	30/04/2021	Multimeter Fluke 179-2/IMSK (4)	-	430476-0 / Multimeter Fluke 179-2/IMSK (4)
430477-0	30/04/2021	Multimeter Fluke 179-2/IMSK (5)	-	430477-0 / Multimeter Fluke 179-2/IMSK (5)
430478-0	30/04/2021	Current Probe Common A621	-	430478-0 / Current Probe Common A621
430479-0	30/04/2021	Network Cable Tester Fluke CI1-100 Kit	-	430479-0 / Network Cable Tester Fluke CI1-100 Kit
430480-0	30/04/2021	Network Cable Tester Fluke CI1-100 Kit (2)	-	430480-0 / Network Cable Tester Fluke CI1-100 Kit (2)
430481-0	30/04/2021	Network Cable Tester Fluke CI1-100 Kit (3)	-	430481-0 / Network Cable Tester Fluke CI1-100 Kit (3)
430482-0	30/04/2021	Network Cable Tester Fluke CI1-100 Kit (4)	-	430482-0 / Network Cable Tester Fluke CI1-100 Kit (4)
430483-0	30/04/2021	True RMS AC/DC Clamp Meter with Iflex	-	430483-0 / True RMS AC/DC Clamp Meter with Iflex
430484-0	30/04/2021	True RMS AC/DC Clamp Meter with Iflex (2)	-	430484-0 / True RMS AC/DC Clamp Meter with Iflex (2)
430485-0	30/04/2021	True RMS AC/DC Clamp Meter with Iflex (3)	-	430485-0 / True RMS AC/DC Clamp Meter with Iflex (3)
430486-0	30/04/2021	True RMS AC/DC Clamp Meter with Iflex (4)	-	430486-0 / True RMS AC/DC Clamp Meter with Iflex (4)
430487-0	30/04/2021	True RMS AC/DC Clamp Meter with Iflex (5)	-	430487-0 / True RMS AC/DC Clamp Meter with Iflex (5)
430488-0	30/04/2021	True RMS AC/DC Clamp Meter with Iflex (6)	-	430488-0 / True RMS AC/DC Clamp Meter with Iflex (6)
430489-0	30/04/2021	True RMS AC/DC Clamp Meter with Iflex (7)	-	430489-0 / True RMS AC/DC Clamp Meter with Iflex (7)
430490-0	30/04/2021	True RMS AC/DC Clamp Meter with Iflex (8)	-	430490-0 / True RMS AC/DC Clamp Meter with Iflex (8)
430491-0	30/04/2021	True RMS AC/DC Clamp Meter with Iflex (9)	-	430491-0 / True RMS AC/DC Clamp Meter with Iflex (9)
430492-0	30/04/2021	Air Flow Meter Fluke 922 Kit	-	430492-0 / Air Flow Meter Fluke 922 Kit
430493-0	30/04/2021	Steel Dust Meter Cosmos SDM72	-	430493-0 / Steel Dust Meter Cosmos SDM72
430494-0	30/04/2021	Steel Dust Meter Cosmos SDM72 (2)	-	430494-0 / Steel Dust Meter Cosmos SDM72 (2)
430495-0	30/04/2021	Tachometer Fluke 931	-	430495-0 / Tachometer Fluke 931
430496-0	30/04/2021	Vibration Meter Fluke-805	-	430496-0 / Vibration Meter Fluke-805
430497-0	30/04/2021	Gas Leak Detector Honeywell	-	430497-0 / Gas Leak Detector Honeywell
430498-0	30/04/2021	Gas Leak Detector Honeywell (2)	-	430498-0 / Gas Leak Detector Honeywell (2)
430499-0	30/04/2021	Thermometer Fluke 62 Max+	-	430499-0 / Thermometer Fluke 62 Max+
430500-0	30/04/2021	Thermometer Fluke 62 Max+ (2)	-	430500-0 / Thermometer Fluke 62 Max+ (2)
430501-0	30/04/2021	Thermometer Fluke 62 Max+ (3)	-	430501-0 / Thermometer Fluke 62 Max+ (3)
430502-0	30/04/2021	Thermometer Fluke 62 Max+ (4)	-	430502-0 / Thermometer Fluke 62 Max+ (4)
430503-0	30/04/2021	Thermometer Fluke 62 Max+ (5)	-	430503-0 / Thermometer Fluke 62 Max+ (5)
430504-0	30/04/2021	Thermometer Fluke 62 Max+ (6)	-	430504-0 / Thermometer Fluke 62 Max+ (6)
430505-0	30/04/2021	Thermometer Fluke 62 Max+ (7)	-	430505-0 / Thermometer Fluke 62 Max+ (7)
430506-0	30/04/2021	Thermometer Fluke 62 Max+ (8)	-	430506-0 / Thermometer Fluke 62 Max+ (8)
430507-0	30/04/2021	Thermometer Fluke 62 Max+ (9)	-	430507-0 / Thermometer Fluke 62 Max+ (9)
430508-0	30/04/2021	Oscilloscopes Yokagawa DLM3024 	-	430508-0 / Oscilloscopes Yokagawa DLM3024 
430509-0	30/04/2021	Current Probe Fluke 80I-110S	-	430509-0 / Current Probe Fluke 80I-110S
430510-0	30/04/2021	Differential Probe Yokagawa 700924 	-	430510-0 / Differential Probe Yokagawa 700924 
430511-0	30/04/2021	Current Probe Fluke i6000S 	-	430511-0 / Current Probe Fluke i6000S 
430512-0	30/04/2021	Insulation Multimeter Fluke-1587-FC	-	430512-0 / Insulation Multimeter Fluke-1587-FC
430513-0	30/04/2021	Insulation Multimeter Fluke-1587-FC (2)	-	430513-0 / Insulation Multimeter Fluke-1587-FC (2)
430514-0	30/04/2021	Insulation Multimeter Fluke-1587-FC (3)	-	430514-0 / Insulation Multimeter Fluke-1587-FC (3)
430515-0	30/04/2021	Insulation Multimeter Fluke-1587-FC (4)	-	430515-0 / Insulation Multimeter Fluke-1587-FC (4)
430516-0	30/04/2021	Insulation Multimeter Fluke-1587-FC (5)	-	430516-0 / Insulation Multimeter Fluke-1587-FC (5)
430517-0	30/04/2021	Workbench Tools Vise 6IN Swivel	-	430517-0 / Workbench Tools Vise 6IN Swivel
430518-0	30/04/2021	Workbench Tools Vise 6IN Swivel (2)	-	430518-0 / Workbench Tools Vise 6IN Swivel (2)
430519-0	30/04/2021	Workbench Tools Vise 6IN Swivel (3)	-	430519-0 / Workbench Tools Vise 6IN Swivel (3)
430520-0	30/04/2021	Workbench Tools Vise 6IN Swivel (4)	-	430520-0 / Workbench Tools Vise 6IN Swivel (4)
430521-0	30/04/2021	Workbench Tools Vise 6IN Swivel (5)	-	430521-0 / Workbench Tools Vise 6IN Swivel (5)
430522-0	30/04/2021	Clamp Meter Hioki 3288-20	191126462	430522-0 / Clamp Meter Hioki 3288-20
430523-0	30/04/2021	Clamp Meter Hioki 3288-20 (2)	191126464	430523-0 / Clamp Meter Hioki 3288-20 (2)
430524-0	30/04/2021	Clamp Meter Hioki 3288-20 (3)	191028217	430524-0 / Clamp Meter Hioki 3288-20 (3)
430525-0	30/04/2021	Clamp Meter Hioki 3288-20 (4)	191126467	430525-0 / Clamp Meter Hioki 3288-20 (4)
430526-0	30/04/2021	Clamp Meter Hioki 3288-20 (5)	191126461	430526-0 / Clamp Meter Hioki 3288-20 (5)
430527-0	30/04/2021	Clamp Meter Hioki 3288-20 (6)	191126466	430527-0 / Clamp Meter Hioki 3288-20 (6)
430528-0	30/04/2021	Clamp Meter Hioki 3288-20 (7)	191126465	430528-0 / Clamp Meter Hioki 3288-20 (7)
430529-0	30/04/2021	Clamp Meter Hioki 3288-20 (8)	191126469	430529-0 / Clamp Meter Hioki 3288-20 (8)
430530-0	30/04/2021	Clamp Meter Hioki 3288-20 (9)	191126463	430530-0 / Clamp Meter Hioki 3288-20 (9)
430531-0	30/04/2021	Earth Ground Tester Hioki FT6381	200903668	430531-0 / Earth Ground Tester Hioki FT6381
430532-0	30/04/2021	Earth Ground Tester Hioki FT6381 (2)	191126688	430532-0 / Earth Ground Tester Hioki FT6381 (2)
430533-0	30/04/2021	Earth Ground Tester Hioki FT6381 (3)	200619231	430533-0 / Earth Ground Tester Hioki FT6381 (3)
